worker_id,paid,task_name,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,document_id,document_index,reliability_value,reliability_label,reliability_index,reliability_description,neutrality_value,neutrality_label,neutrality_index,neutrality_description,comprehensibility_value,comprehensibility_label,comprehensibility_index,comprehensibility_description,precision_value,precision_label,precision_index,precision_description,completeness_value,completeness_label,completeness_index,completeness_description,informativeness_value,informativeness_label,informativeness_index,informativeness_description,confidence_value,confidence_justification,time_start,time_end,time_elapsed,time_start_parsed,time_end_parsed,accesses,global_outcome,global_form_validity,gold_checks,time_spent_check
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,1,Next,"Tue, 16 Jan 2024 15:14:33 GMT",2024-01-16 15:14:33 00:00,Pair_A24FAUV92Z4NQ2-B0076O41IK,0,2,completely-agree,4.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,92.0,La recensione in modo molto chiaro e breve spiega e consiglia metodi di funzionamento del prodotto e quali sono le sue problematiche.,1705417871.55,1705418073.43,201.89,2024-01-16 15:11:11,2024-01-16 15:14:33,1,True,True,True,True
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,1,Next,"Tue, 16 Jan 2024 15:17:08 GMT",2024-01-16 15:17:08 00:00,Pair_ARA6K18YQ4UZZ-B000FP83GS,1,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,98.0,La recensione aggiunge dettagli molto chiari sul prodotto fornendo anche un aiuto ad un possibile acquirente.,1705418073.43,1705418228.08,154.65,2024-01-16 15:14:33,2024-01-16 15:17:08,1,True,True,True,True
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,1,Next,"Tue, 16 Jan 2024 15:22:14 GMT",2024-01-16 15:22:14 00:00,Pair_A32FTLA25H2AM-B018FNDPVY,2,2,completely-agree,4.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,0,neutral,2.0,,0,neutral,2.0,,89.0,La recensione spiega in modo approssimato quali sono le problematiche principali del prodotto e del produttore.,1705418228.08,1705418534.46,306.38,2024-01-16 15:17:08,2024-01-16 15:22:14,1,True,True,True,True
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,1,Next,"Tue, 16 Jan 2024 15:23:38 GMT",2024-01-16 15:23:38 00:00,Pair_A13PCJYZZSHTF1-B00RMX6EB2,3,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,0,neutral,2.0,,-2,completely-disagree,0.0,...,-1,partially-disagree,1.0,...,0,neutral,2.0,,89.0,La recensione è molto breve e non giustifica in alcun modo l'opinione positiva dietro il prodotto.,1705418534.46,1705418618.33,83.87,2024-01-16 15:22:14,2024-01-16 15:23:38,1,True,True,True,True
A1E1R8IG1MHWJB,True,ProgettoSocial,socialcomputing,unit_5,1,1,Finish,"Tue, 16 Jan 2024 15:26:53 GMT",2024-01-16 15:26:53 00:00,Pair_A1IXR1SDY2JEBT-B018J40IKU,4,1,partially-agree,3.0,,0,neutral,2.0,,1,partially-agree,3.0,,0,neutral,2.0,,0,neutral,2.0,,0,neutral,2.0,,88.0,La recensione essendo molto corta non aggiunge particolari informazioni al prodotto e non spiega le ragioni dietro l'acquisto.,1705418618.33,1705418813.59,195.26,2024-01-16 15:23:38,2024-01-16 15:26:53,1,True,True,True,True
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,1,Next,"Mon, 15 Jan 2024 14:42:17 GMT",2024-01-15 14:42:17 00:00,Pair_A16IOM7V3PNJ43-B0033SHDSS,0,1,partially-agree,3.0,,0,neutral,2.0,,2,completely-agree,4.0,,0,neutral,2.0,,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,100.0,A b c f e f g h I j k,1705329609.24,1705329737.22,127.98,2024-01-15 14:40:09,2024-01-15 14:42:17,1,True,True,True,True
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,1,Next,"Mon, 15 Jan 2024 14:44:14 GMT",2024-01-15 14:44:14 00:00,Pair_A21VR3CU76PEA7-B003BZQRV2,1,-2,completely-disagree,0.0,...,-2,completely-disagree,0.0,...,2,completely-agree,4.0,,-2,completely-disagree,0.0,...,-2,completely-disagree,0.0,...,-2,completely-disagree,0.0,...,100.0,A b c d e f g h i j k,1705329737.22,1705329854.08,116.86,2024-01-15 14:42:17,2024-01-15 14:44:14,1,True,True,True,True
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,1,Next,"Mon, 15 Jan 2024 14:46:35 GMT",2024-01-15 14:46:35 00:00,Pair_A24FAUV92Z4NQ2-B0076O41IK,2,-2,completely-disagree,0.0,...,-1,partially-disagree,1.0,...,-1,partially-disagree,1.0,...,-2,completely-disagree,0.0,...,1,partially-agree,3.0,,2,completely-agree,4.0,,69.0,A b c d e f g h i j k,1705329854.08,1705329995.06,140.98,2024-01-15 14:44:14,2024-01-15 14:46:35,1,True,True,True,True
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,1,Next,"Mon, 15 Jan 2024 14:49:17 GMT",2024-01-15 14:49:17 00:00,Pair_ARA6K18YQ4UZZ-B000FP83GS,3,-2,completely-disagree,0.0,...,-2,completely-disagree,0.0,...,-1,partially-disagree,1.0,...,2,completely-agree,4.0,,2,completely-agree,4.0,,0,neutral,2.0,,100.0,A b c d e f g h i j k,1705329995.06,1705330157.25,162.19,2024-01-15 14:46:35,2024-01-15 14:49:17,1,True,True,True,True
A2OUE4SFMS3JC1,True,ProgettoSocial,socialcomputing,unit_7,1,1,Finish,"Mon, 15 Jan 2024 14:50:17 GMT",2024-01-15 14:50:17 00:00,Pair_A32FTLA25H2AM-B018FNDPVY,4,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,-2,completely-disagree,0.0,...,2,completely-agree,4.0,,-2,completely-disagree,0.0,...,2,completely-agree,4.0,,75.0,A b c d e f g h i j k,1705330157.25,1705330216.61,59.36,2024-01-15 14:49:17,2024-01-15 14:50:16,1,True,True,True,True
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,1,Next,"Mon, 15 Jan 2024 16:02:06 GMT",2024-01-15 16:02:06 00:00,Pair_AP4CTAPYQ0G38-B00IQCHQPQ,0,0,neutral,2.0,,-1,partially-disagree,1.0,...,2,completely-agree,4.0,,-1,partially-disagree,1.0,...,-2,completely-disagree,0.0,...,-1,partially-disagree,1.0,...,66.0,The review is incomplete and not expressed in objective terms .,1705333893.26,1705334526.56,633.3,2024-01-15 15:51:33,2024-01-15 16:02:06,1,True,True,True,True
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,1,Next,"Mon, 15 Jan 2024 16:04:40 GMT",2024-01-15 16:04:40 00:00,Pair_A16IOM7V3PNJ43-B0033SHDSS,1,0,neutral,2.0,,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,-2,completely-disagree,0.0,...,-2,completely-disagree,0.0,...,69.0,It describes another product . . . . . . .,1705334526.56,1705334680.27,153.71,2024-01-15 16:02:06,2024-01-15 16:04:40,1,True,True,True,True
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,1,Next,"Mon, 15 Jan 2024 16:19:22 GMT",2024-01-15 16:19:22 00:00,Pair_A21VR3CU76PEA7-B003BZQRV2,2,0,neutral,2.0,,-1,partially-disagree,1.0,...,0,neutral,2.0,,-1,partially-disagree,1.0,...,-1,partially-disagree,1.0,...,0,neutral,2.0,,65.0,The review seems not objective but it tries to provide useful information to the reader.,1705334680.27,1705335562.27,882.01,2024-01-15 16:04:40,2024-01-15 16:19:22,1,True,True,True,True
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,1,Next,"Mon, 15 Jan 2024 16:24:44 GMT",2024-01-15 16:24:44 00:00,Pair_A24FAUV92Z4NQ2-B0076O41IK,3,0,neutral,2.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,75.0,Seems a honest and it tries to provide useful information to the reader.,1705335562.27,1705335884.38,322.11,2024-01-15 16:19:22,2024-01-15 16:24:44,1,True,True,True,True
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,1,Finish,"Mon, 15 Jan 2024 16:30:37 GMT",2024-01-15 16:30:37 00:00,Pair_ARA6K18YQ4UZZ-B000FP83GS,4,0,neutral,2.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,65.0,"the review is expressed in objective terms, but could be more complete",1705335884.38,1705336236.53,352.15,2024-01-15 16:24:44,2024-01-15 16:30:36,1,True,True,True,True
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,1,Next,"Tue, 16 Jan 2024 10:22:32 GMT",2024-01-16 10:22:32 00:00,Pair_A87LMJTA3I6UU-B00336EUU4,0,1,partially-agree,3.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,0,neutral,2.0,,0,neutral,2.0,,0,neutral,2.0,,85.0,"Valutazione breve, non dice molto a livello tecnico, facile da giudicare",1705400092.2,1705400552.57,460.36,2024-01-16 10:14:52,2024-01-16 10:22:32,1,True,True,True,True
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,1,Next,"Tue, 16 Jan 2024 10:27:16 GMT",2024-01-16 10:27:16 00:00,Pair_A2ZHSXTQO831OS-B000Q9A4AQ,1,1,partially-agree,3.0,,0,neutral,2.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,-1,partially-disagree,1.0,...,90.0,"Facile da giudicare in quanto fornisce poche informazioni, si lamenta solo di un problema del quale non si lamenta neanche a causa del prezzo contenuto del prodotto",1705400552.57,1705400836.87,284.3,2024-01-16 10:22:32,2024-01-16 10:27:16,1,True,True,True,True
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,1,Next,"Tue, 16 Jan 2024 10:34:02 GMT",2024-01-16 10:34:02 00:00,Pair_AJQYAX6Y56ZFW-B019XWENGM,2,1,partially-agree,3.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,0,neutral,2.0,,0,neutral,2.0,,1,partially-agree,3.0,,90.0,"Frasi brevi e concise, facili da comprendere e grazie alle quali è facile giudicare la recensione",1705400836.87,1705401242.63,405.76,2024-01-16 10:27:16,2024-01-16 10:34:02,1,True,True,True,True
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,1,Next,"Tue, 16 Jan 2024 10:38:38 GMT",2024-01-16 10:38:38 00:00,Pair_AR6PRH6B8N7LP-B006UKI83U,3,2,completely-agree,4.0,,1,partially-agree,3.0,,0,neutral,2.0,,0,neutral,2.0,,-1,partially-disagree,1.0,...,0,neutral,2.0,,60.0,Non essendo a conoscenza dell'oggetto recensito ho meno fiducia sul mio giudizio in quanto non so quante informazioni mi ha dato e quanto possano essere rilevanti,1705401242.63,1705401518.09,275.46,2024-01-16 10:34:02,2024-01-16 10:38:38,1,True,True,True,True
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,1,Finish,"Tue, 16 Jan 2024 10:40:32 GMT",2024-01-16 10:40:32 00:00,Pair_AVJC3PLM2VHRI-B01D9JG0VQ,4,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,100.0,"Review seria, completa ed analizza il prdotto descrivendone pro e contro, facile da giudicare data la sua completezza",1705401518.09,1705401632.07,113.98,2024-01-16 10:38:38,2024-01-16 10:40:32,1,True,True,True,True
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,1,Next,"Mon, 15 Jan 2024 14:43:20 GMT",2024-01-15 14:43:20 00:00,Pair_A21VR3CU76PEA7-B003BZQRV2,0,0,neutral,2.0,,1,partially-agree,3.0,,0,neutral,2.0,,0,neutral,2.0,,0,neutral,2.0,,1,partially-agree,3.0,,75.0,"The intent and the content of the review are clear, so I can provide good confidence in the answers",1705329621.96,1705329800.29,178.33,2024-01-15 14:40:21,2024-01-15 14:43:20,1,True,True,True,True
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,1,Next,"Mon, 15 Jan 2024 14:45:10 GMT",2024-01-15 14:45:10 00:00,Pair_A24FAUV92Z4NQ2-B0076O41IK,1,0,neutral,2.0,,1,partially-agree,3.0,,0,neutral,2.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,90.0,"The review is detailed on various aspects, so I can provide very good confidence in the answers",1705329800.29,1705329910.57,110.27,2024-01-15 14:43:20,2024-01-15 14:45:10,1,True,True,True,True
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,1,Next,"Mon, 15 Jan 2024 14:47:20 GMT",2024-01-15 14:47:20 00:00,Pair_ARA6K18YQ4UZZ-B000FP83GS,2,0,neutral,2.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,90.0,"The review is extremely precise, justifying each of its complaints. I have very good confidence in my answers",1705329910.57,1705330040.55,129.98,2024-01-15 14:45:10,2024-01-15 14:47:20,1,True,True,True,True
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,1,Next,"Mon, 15 Jan 2024 14:54:57 GMT",2024-01-15 14:54:57 00:00,Pair_A32FTLA25H2AM-B018FNDPVY,3,0,neutral,2.0,,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,50.0,"I don't have good confidence in the answers because the reviewer talks about the product from his expectations, instead of talking about it objectively",1705330040.55,1705330497.33,456.78,2024-01-15 14:47:20,2024-01-15 14:54:57,1,True,True,True,True
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,1,Finish,"Mon, 15 Jan 2024 14:56:10 GMT",2024-01-15 14:56:10 00:00,Pair_A13PCJYZZSHTF1-B00RMX6EB2,4,0,neutral,2.0,,-2,completely-disagree,0.0,...,2,completely-agree,4.0,,-1,partially-disagree,1.0,...,0,neutral,2.0,,-1,partially-disagree,1.0,...,30.0,"No useful information is provided in the review, so I cannot give confident answers",1705330497.33,1705330570.13,72.81,2024-01-15 14:54:57,2024-01-15 14:56:10,1,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Next,"Mon, 15 Jan 2024 16:10:02 GMT",2024-01-15 16:10:02 00:00,Pair_ARQT4BAVJQOF5-B000FPAN2K,0,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,2,completely-agree,4.0,,0,neutral,2.0,,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,60.0,"The buyer doesn't say much about the product, except for the fact that it works as expected",1705334890.52,1705335002.6,112.08,2024-01-15 16:08:10,2024-01-15 16:10:02,1,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Back,"Mon, 15 Jan 2024 16:10:30 GMT",2024-01-15 16:10:30 00:00,Pair_AP4CTAPYQ0G38-B00IQCHQPQ,1,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,0,neutral,2.0,,0,neutral,2.0,,75.0,"The buyer doesn't say much about the product, except for the fact that it works as expected",1705335002.6,1705335030.12,27.51,2024-01-15 16:10:02,2024-01-15 16:10:30,1,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Next,"Mon, 15 Jan 2024 16:10:34 GMT",2024-01-15 16:10:34 00:00,Pair_ARQT4BAVJQOF5-B000FPAN2K,0,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,2,completely-agree,4.0,,0,neutral,2.0,,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,68.0,"The buyer doesn't say much about the product, except for the fact that it works as expected",1705334890.52,1705335002.6,116.51,2024-01-15 16:08:10,2024-01-15 16:10:02,2,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Next,"Mon, 15 Jan 2024 16:10:37 GMT",2024-01-15 16:10:37 00:00,Pair_AP4CTAPYQ0G38-B00IQCHQPQ,1,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,0,neutral,2.0,,0,neutral,2.0,,75.0,"The buyer doesn't say much about the product, except for the fact that it works as expected",1705335002.6,1705335030.12,30.18,2024-01-15 16:10:02,2024-01-15 16:10:30,2,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Next,"Mon, 15 Jan 2024 16:13:31 GMT",2024-01-15 16:13:31 00:00,Pair_A16IOM7V3PNJ43-B0033SHDSS,2,1,partially-agree,3.0,,-1,partially-disagree,1.0,...,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,80.0,"I think it is reliable because it compares other products, but it is not very neutral",1705335037.21,1705335211.99,174.78,2024-01-15 16:10:37,2024-01-15 16:13:31,1,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Next,"Mon, 15 Jan 2024 16:14:45 GMT",2024-01-15 16:14:45 00:00,Pair_A21VR3CU76PEA7-B003BZQRV2,3,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,0,neutral,2.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,75.0,I think it is reliable because the reviewer explains how he used it,1705335211.99,1705335285.44,73.45,2024-01-15 16:13:31,2024-01-15 16:14:45,1,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Back,"Mon, 15 Jan 2024 16:15:25 GMT",2024-01-15 16:15:25 00:00,Pair_A24FAUV92Z4NQ2-B0076O41IK,4,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,69.0,,1705335285.44,1705335325.52,40.09,2024-01-15 16:14:45,2024-01-15 16:15:25,1,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Next,"Mon, 15 Jan 2024 16:15:29 GMT",2024-01-15 16:15:29 00:00,Pair_A21VR3CU76PEA7-B003BZQRV2,3,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,0,neutral,2.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,75.0,I think it is reliable because the reviewer explains how he used it,1705335211.99,1705335285.44,77.61,2024-01-15 16:13:31,2024-01-15 16:14:45,2,True,True,True,True
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,1,Finish,"Mon, 15 Jan 2024 16:15:32 GMT",2024-01-15 16:15:32 00:00,Pair_A24FAUV92Z4NQ2-B0076O41IK,4,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,69.0,I think it is reliable because the reviewer explains how he used it,1705335285.44,1705335325.52,42.62,2024-01-15 16:14:45,2024-01-15 16:15:25,2,True,True,True,True
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,1,Next,"Mon, 15 Jan 2024 18:23:27 GMT",2024-01-15 18:23:27 00:00,Pair_A13PCJYZZSHTF1-B00RMX6EB2,0,0,neutral,2.0,,-2,completely-disagree,0.0,...,2,completely-agree,4.0,,-2,completely-disagree,0.0,...,-2,completely-disagree,0.0,...,-1,partially-disagree,1.0,...,100.0,"It doesn't say anything specific, it's just a personal opinion of the product",1705342842.57,1705343007.07,164.5,2024-01-15 18:20:42,2024-01-15 18:23:27,1,True,True,True,True
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,1,Next,"Mon, 15 Jan 2024 18:24:39 GMT",2024-01-15 18:24:39 00:00,Pair_A1IXR1SDY2JEBT-B018J40IKU,1,1,partially-agree,3.0,,2,completely-agree,4.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,0,neutral,2.0,,1,partially-agree,3.0,,100.0,It gives me some usefull informations about where is resonable to use the product,1705343007.07,1705343079.7,72.63,2024-01-15 18:23:27,2024-01-15 18:24:39,1,True,True,True,True
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,1,Next,"Mon, 15 Jan 2024 18:27:03 GMT",2024-01-15 18:27:03 00:00,Pair_A87LMJTA3I6UU-B00336EUU4,2,2,completely-agree,4.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,1,partially-agree,3.0,,1,partially-agree,3.0,,2,completely-agree,4.0,,100.0,"It gives its own opinion, based on a medical condition, of the effectiveness of the product.",1705343079.7,1705343223.86,144.16,2024-01-15 18:24:39,2024-01-15 18:27:03,1,True,True,True,True
