worker_id,paid,task_name,batch_name,unit_id,try_current,action,time_submit,time_submit_parsed,questionnaire_index,questionnaire_position,questionnaire_allow_back,questionnaire_type,questionnaire_time_elapsed,questionnaire_accesses,question_attribute_dropped,question_attribute_index,question_attribute_indexFull,question_attribute_name,question_attribute_type,question_attribute_nameFull,question_attribute_text,question_attribute_required,question_answers_values,question_answers_labels,question_answer_value,question_answer_text
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,Next,"Mon, 15 Jan 2024 15:49:11 GMT",2024-01-15 15:49:11 00:00,0.0,start,False,standard,231.9,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,Next,"Mon, 15 Jan 2024 15:49:11 GMT",2024-01-15 15:49:11 00:00,0.0,start,False,standard,231.9,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,Next,"Mon, 15 Jan 2024 15:49:11 GMT",2024-01-15 15:49:11 00:00,0.0,start,False,standard,231.9,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,Next,"Mon, 15 Jan 2024 15:49:11 GMT",2024-01-15 15:49:11 00:00,0.0,start,False,standard,231.9,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
A364H7U9O2GPP8,True,ProgettoSocial,socialcomputing,unit_8,1,Next,"Mon, 15 Jan 2024 15:51:33 GMT",2024-01-15 15:51:33 00:00,1.0,start,False,crt,141.35,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,Next,"Tue, 16 Jan 2024 10:13:07 GMT",2024-01-16 10:13:07 00:00,0.0,start,False,standard,13.52,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,Next,"Tue, 16 Jan 2024 10:13:07 GMT",2024-01-16 10:13:07 00:00,0.0,start,False,standard,13.52,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,Next,"Tue, 16 Jan 2024 10:13:07 GMT",2024-01-16 10:13:07 00:00,0.0,start,False,standard,13.52,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,Next,"Tue, 16 Jan 2024 10:13:07 GMT",2024-01-16 10:13:07 00:00,0.0,start,False,standard,13.52,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,medium
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,Next,"Tue, 16 Jan 2024 10:13:07 GMT",2024-01-16 10:13:07 00:00,0.0,start,False,standard,13.52,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
A394QKKWXBAV95,True,ProgettoSocial,socialcomputing,unit_0,1,Next,"Tue, 16 Jan 2024 10:14:52 GMT",2024-01-16 10:14:52 00:00,1.0,start,False,crt,104.68,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,Next,"Mon, 15 Jan 2024 14:33:18 GMT",2024-01-15 14:33:18 00:00,0.0,start,False,standard,18.19,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,26-35
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,Next,"Mon, 15 Jan 2024 14:33:18 GMT",2024-01-15 14:33:18 00:00,0.0,start,False,standard,18.19,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,Next,"Mon, 15 Jan 2024 14:33:18 GMT",2024-01-15 14:33:18 00:00,0.0,start,False,standard,18.19,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,Next,"Mon, 15 Jan 2024 14:33:18 GMT",2024-01-15 14:33:18 00:00,0.0,start,False,standard,18.19,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,Next,"Mon, 15 Jan 2024 14:33:18 GMT",2024-01-15 14:33:18 00:00,0.0,start,False,standard,18.19,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
A3ATQJBTE9UGYO,True,ProgettoSocial,socialcomputing,unit_6,1,Next,"Mon, 15 Jan 2024 14:40:21 GMT",2024-01-15 14:40:21 00:00,1.0,start,False,crt,423.77,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,Next,"Mon, 15 Jan 2024 16:08:06 GMT",2024-01-15 16:08:06 00:00,0.0,start,False,standard,11.78,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,Next,"Mon, 15 Jan 2024 16:08:06 GMT",2024-01-15 16:08:06 00:00,0.0,start,False,standard,11.78,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,female
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,Next,"Mon, 15 Jan 2024 16:08:06 GMT",2024-01-15 16:08:06 00:00,0.0,start,False,standard,11.78,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,Next,"Mon, 15 Jan 2024 16:08:06 GMT",2024-01-15 16:08:06 00:00,0.0,start,False,standard,11.78,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,Next,"Mon, 15 Jan 2024 16:08:06 GMT",2024-01-15 16:08:06 00:00,0.0,start,False,standard,11.78,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
A3E48QYD5WGHXT,True,ProgettoSocial,socialcomputing,unit_9,1,Next,"Mon, 15 Jan 2024 16:08:10 GMT",2024-01-15 16:08:10 00:00,1.0,start,False,crt,3.74,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,1.0,
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,Next,"Mon, 15 Jan 2024 18:19:15 GMT",2024-01-15 18:19:15 00:00,0.0,start,False,standard,18.42,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,Next,"Mon, 15 Jan 2024 18:19:15 GMT",2024-01-15 18:19:15 00:00,0.0,start,False,standard,18.42,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,Next,"Mon, 15 Jan 2024 18:19:15 GMT",2024-01-15 18:19:15 00:00,0.0,start,False,standard,18.42,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,Next,"Mon, 15 Jan 2024 18:19:15 GMT",2024-01-15 18:19:15 00:00,0.0,start,False,standard,18.42,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,Next,"Mon, 15 Jan 2024 18:19:15 GMT",2024-01-15 18:19:15 00:00,0.0,start,False,standard,18.42,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
A3PL49AYJQ0PWD,True,ProgettoSocial,socialcomputing,unit_2,1,Next,"Mon, 15 Jan 2024 18:20:42 GMT",2024-01-15 18:20:42 00:00,1.0,start,False,crt,87.14,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,1.0,
A90OEY9RMHSSW,True,ProgettoSocial,socialcomputing,unit_1,1,Next,"Mon, 15 Jan 2024 19:41:00 GMT",2024-01-15 19:41:00 00:00,0.0,start,False,standard,20.38,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
A90OEY9RMHSSW,True,ProgettoSocial,socialcomputing,unit_1,1,Next,"Mon, 15 Jan 2024 19:41:00 GMT",2024-01-15 19:41:00 00:00,0.0,start,False,standard,20.38,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,female
A90OEY9RMHSSW,True,ProgettoSocial,socialcomputing,unit_1,1,Next,"Mon, 15 Jan 2024 19:41:00 GMT",2024-01-15 19:41:00 00:00,0.0,start,False,standard,20.38,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,bachelor's degree
A90OEY9RMHSSW,True,ProgettoSocial,socialcomputing,unit_1,1,Next,"Mon, 15 Jan 2024 19:41:00 GMT",2024-01-15 19:41:00 00:00,0.0,start,False,standard,20.38,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
A90OEY9RMHSSW,True,ProgettoSocial,socialcomputing,unit_1,1,Next,"Mon, 15 Jan 2024 19:41:00 GMT",2024-01-15 19:41:00 00:00,0.0,start,False,standard,20.38,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
A90OEY9RMHSSW,True,ProgettoSocial,socialcomputing,unit_1,1,Next,"Mon, 15 Jan 2024 19:41:05 GMT",2024-01-15 19:41:05 00:00,1.0,start,False,crt,4.73,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
AA9MSN44RNHQB,True,ProgettoSocial,socialcomputing,unit_10,1,Next,"Mon, 15 Jan 2024 16:12:10 GMT",2024-01-15 16:12:10 00:00,0.0,start,False,standard,28.72,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
AA9MSN44RNHQB,True,ProgettoSocial,socialcomputing,unit_10,1,Next,"Mon, 15 Jan 2024 16:12:10 GMT",2024-01-15 16:12:10 00:00,0.0,start,False,standard,28.72,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
AA9MSN44RNHQB,True,ProgettoSocial,socialcomputing,unit_10,1,Next,"Mon, 15 Jan 2024 16:12:10 GMT",2024-01-15 16:12:10 00:00,0.0,start,False,standard,28.72,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
AA9MSN44RNHQB,True,ProgettoSocial,socialcomputing,unit_10,1,Next,"Mon, 15 Jan 2024 16:12:10 GMT",2024-01-15 16:12:10 00:00,0.0,start,False,standard,28.72,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,medium
AA9MSN44RNHQB,True,ProgettoSocial,socialcomputing,unit_10,1,Next,"Mon, 15 Jan 2024 16:12:10 GMT",2024-01-15 16:12:10 00:00,0.0,start,False,standard,28.72,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
AA9MSN44RNHQB,True,ProgettoSocial,socialcomputing,unit_10,1,Next,"Mon, 15 Jan 2024 16:13:13 GMT",2024-01-15 16:13:13 00:00,1.0,start,False,crt,62.88,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
ACWRCR0KHTY69,True,ProgettoSocial,socialcomputing,unit_11,1,Next,"Mon, 15 Jan 2024 16:41:50 GMT",2024-01-15 16:41:50 00:00,0.0,start,False,standard,20.11,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
ACWRCR0KHTY69,True,ProgettoSocial,socialcomputing,unit_11,1,Next,"Mon, 15 Jan 2024 16:41:50 GMT",2024-01-15 16:41:50 00:00,0.0,start,False,standard,20.11,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
ACWRCR0KHTY69,True,ProgettoSocial,socialcomputing,unit_11,1,Next,"Mon, 15 Jan 2024 16:41:50 GMT",2024-01-15 16:41:50 00:00,0.0,start,False,standard,20.11,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
ACWRCR0KHTY69,True,ProgettoSocial,socialcomputing,unit_11,1,Next,"Mon, 15 Jan 2024 16:41:50 GMT",2024-01-15 16:41:50 00:00,0.0,start,False,standard,20.11,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,high
ACWRCR0KHTY69,True,ProgettoSocial,socialcomputing,unit_11,1,Next,"Mon, 15 Jan 2024 16:41:50 GMT",2024-01-15 16:41:50 00:00,0.0,start,False,standard,20.11,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,often
ACWRCR0KHTY69,True,ProgettoSocial,socialcomputing,unit_11,1,Next,"Mon, 15 Jan 2024 16:43:42 GMT",2024-01-15 16:43:42 00:00,1.0,start,False,crt,112.62,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
ALZDBSHNJHLYX,True,ProgettoSocial,socialcomputing,unit_3,1,Next,"Mon, 15 Jan 2024 20:13:40 GMT",2024-01-15 20:13:40 00:00,0.0,start,False,standard,68.77,1.0,False,0.0,1,age,mcq,age,How old are you?,True,0:::1:::2:::3:::4,0-18:::19-25:::26-35:::36-50:::50+,,19-25
ALZDBSHNJHLYX,True,ProgettoSocial,socialcomputing,unit_3,1,Next,"Mon, 15 Jan 2024 20:13:40 GMT",2024-01-15 20:13:40 00:00,0.0,start,False,standard,68.77,1.0,False,1.0,2,gender,mcq,gender,What is your gender?,True,0:::1,male:::female,,male
ALZDBSHNJHLYX,True,ProgettoSocial,socialcomputing,unit_3,1,Next,"Mon, 15 Jan 2024 20:13:40 GMT",2024-01-15 20:13:40 00:00,0.0,start,False,standard,68.77,1.0,False,2.0,3,education,mcq,education,What is your education level?,True,0:::1:::2:::3:::4,elementary school:::middle school:::high school:::bachelor's degree:::master's degree,,high school
ALZDBSHNJHLYX,True,ProgettoSocial,socialcomputing,unit_3,1,Next,"Mon, 15 Jan 2024 20:13:40 GMT",2024-01-15 20:13:40 00:00,0.0,start,False,standard,68.77,1.0,False,3.0,4,knowledge,mcq,knowledge,What is your IT knowledge level?,True,0:::1:::2,base:::medium:::high,,medium
ALZDBSHNJHLYX,True,ProgettoSocial,socialcomputing,unit_3,1,Next,"Mon, 15 Jan 2024 20:13:40 GMT",2024-01-15 20:13:40 00:00,0.0,start,False,standard,68.77,1.0,False,4.0,5,frequency,mcq,frequency,How often do you shop online?,True,0:::1:::2,rarely:::often:::very often,,rarely
ALZDBSHNJHLYX,True,ProgettoSocial,socialcomputing,unit_3,1,Next,"Mon, 15 Jan 2024 20:13:44 GMT",2024-01-15 20:13:44 00:00,1.0,start,False,crt,3.61,1.0,False,0.0,1,valutazioneCRT,number,valutazioneCRT,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",True,,,3.0,
